"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Polk,"41,045","42,718","45,660",31,4.1,6.9,30
Sherman,"54,618","57,119","66,349",3,4.6,16.2,3
Tillamook,"43,619","44,607","48,060",19,2.3,7.7,25
Umatilla,"39,728","41,267","46,209",29,3.9,12.0,8
Union,"39,755","40,881","45,242",32,2.8,10.7,14
Wallowa,"43,273","45,435","50,303",13,5.0,10.7,13
Wasco,"42,673","43,397","48,643",17,1.7,12.1,7
Washington,"60,999","63,425","66,831",2,4.0,5.4,35
Wheeler,"35,656","37,385","41,366",34,4.8,10.6,15
Yamhill,"45,273","47,151","51,028",10,4.1,8.2,22
,,,,,,,
Pennsylvania,"55,924","57,596","61,700",--,3.0,7.1,--
Adams,"48,826","50,785","54,172",20,4.0,6.7,56
Allegheny,"63,371","64,718","68,777",5,2.1,6.3,59
Armstrong,"44,955","47,058","51,200",29,4.7,8.8,26
Beaver,"48,416","50,385","55,449",19,4.1,10.1,8
Bedford,"41,911","42,762","46,246",59,2.0,8.1,35
Berks,"49,549","51,606","55,953",17,4.2,8.4,30
Blair,"46,236","47,573","52,096",26,2.9,9.5,16
Bradford,"40,626","43,071","45,979",60,6.0,6.8,55
Bucks,"73,655","76,502","80,627",3,3.9,5.4,62
Butler,"58,575","60,995","64,732",6,4.1,6.1,60
Cambria,"43,050","44,620","48,637",44,3.6,9.0,23
Cameron,"48,251","48,108","53,654",21,-0.3,11.5,2
Carbon,"51,641","52,887","56,868",15,2.4,7.5,45
Centre,"46,210","47,947","50,615",32,3.8,5.6,61
Chester,"84,955","88,403","91,927",1,4.1,4.0,67
Clarion,"40,756","42,015","45,427",61,3.1,8.1,36
Clearfield,"44,839","46,443","50,648",31,3.6,9.1,21
Clinton,"39,382","42,765","46,338",58,8.6,8.4,32
Columbia,"42,286","43,558","47,464",48,3.0,9.0,24
Crawford,"40,644","42,127","46,356",57,3.6,10.0,9
Cumberland,"55,119","57,256","61,596",9,3.9,7.6,43
Dauphin,"50,878","52,892","56,792",16,4.0,7.4,48
Delaware,"67,223","69,950","73,588",4,4.1,5.2,64
Elk,"48,420","48,791","53,592",22,0.8,9.8,12
Erie,"44,740","46,259","50,536",33,3.4,9.2,18
Fayette,"42,126","43,522","48,007",46,3.3,10.3,5
Forest,"22,919","25,260","28,271",67,10.2,11.9,1
Franklin,"46,435","48,014","51,979",27,3.4,8.3,33
Fulton,"44,740","45,483","48,976",41,1.7,7.7,42
Greene,"43,093","44,600","49,103",39,3.5,10.1,6
Huntingdon,"37,957","39,381","43,555",66,3.8,10.6,3
Indiana,"39,749","41,155","44,472",64,3.5,8.1,38
Jefferson,"44,101","45,191","48,971",42,2.5,8.4,31
Juniata,"44,984","45,746","50,257",35,1.7,9.9,11
Lackawanna,"47,013","48,388","52,580",25,2.9,8.7,27
Lancaster,"52,682","54,529","58,434",12,3.5,7.2,52
Lawrence,"43,478","44,844","49,059",40,3.1,9.4,17
Lebanon,"47,772","49,099","52,743",24,2.8,7.4,47
Lehigh,"52,315","54,308","58,402",13,3.8,7.5,44
Luzerne,"44,535","45,938","50,391",34,3.2,9.7,13
Lycoming,"43,070","44,688","48,721",43,3.8,9.0,22
McKean,"43,965","44,352","47,361",50,0.9,6.8,54
Mercer,"42,121","43,102","47,063",53,2.3,9.2,20
Mifflin,"39,351","40,186","44,242",65,2.1,10.1,7
Monroe,"42,708","44,150","48,409",45,3.4,9.6,14
Montgomery,"79,439","82,176","86,340",2,3.4,5.1,65
Montour,"56,876","58,284","62,658",7,2.5,7.5,46
Northampton,"54,861","56,607","60,179",10,3.2,6.3,58
Northumberland,"41,104","42,867","47,336",51,4.3,10.4,4
Perry,"45,096","46,662","50,095",36,3.5,7.4,49
Philadelphia,"54,467","54,163","58,941",11,-0.6,8.8,25
Pike,"48,397","50,631","53,289",23,4.6,5.2,63
Potter,"44,241","44,771","47,910",47,1.2,7.0,53
Schuylkill,"41,982","43,420","47,425",49,3.4,9.2,19
Snyder,"41,998","42,902","47,000",55,2.2,9.6,15
Somerset,"41,252","42,782","47,035",54,3.7,9.9,10
Sullivan,"46,008","48,102","51,266",28,4.6,6.6,57
Susquehanna,"44,695","46,787","49,114",38,4.7,5.0,66
Tioga,"39,902","41,923","45,319",62,5.1,8.1,37
Union,"40,256","41,982","45,235",63,4.3,7.7,41
Venango,"41,621","43,388","47,125",52,4.2,8.6,29
Warren,"41,764","43,077","46,793",56,3.1,8.6,28
Washington,"58,264","58,216","62,473",8,-0.1,7.3,50
Wayne,"44,004","45,429","49,172",37,3.2,8.2,34
Westmoreland,"51,729","53,750","57,951",14,3.9,7.8,40
Wyoming,"45,540","47,177","50,959",30,3.6,8.0,39
York,"50,069","52,015","55,761",18,3.9,7.2,51
,,,,,,,
Rhode Island,"54,158","56,616","60,825",--,4.5,7.4,--
Bristol,"76,358","79,976","83,127",1,4.7,3.9,5
Kent,"58,728","61,199","65,299",4,4.2,6.7,2
Newport,"68,549","72,569","76,214",2,5.9,5.0,3
Providence,"47,139","49,258","53,844",5,4.5,9.3,1
Washington,"65,638","68,421","71,717",3,4.2,4.8,4
,,,,,,,
South Carolina,"43,711","45,455","48,021",--,4.0,5.6,--
Abbeville,"33,475","35,065","38,033",35,4.7,8.5,14
Aiken,"42,510","44,503","47,118",10,4.7,5.9,34
Allendale,"32,254","33,110","38,991",29,2.7,17.8,1
Anderson,"39,926","41,306","43,459",16,3.5,5.2,36
Bamberg,"33,122","34,611","37,596",38,4.5,8.6,12
Barnwell,"33,479","35,961","38,682",32,7.4,7.6,20
Beaufort,"56,461","59,377","61,298",2,5.2,3.2,46
Berkeley,"40,895","41,968","44,134",15,2.6,5.2,37
Calhoun,"39,327","41,620","44,655",14,5.8,7.3,21
Charleston,"60,885","64,486","66,656",1,5.9,3.4,45
Cherokee,"32,282","33,738","36,567",42,4.5,8.4,16
Chester,"33,259","35,664","38,931",30,7.2,9.2,10
Chesterfield,"31,234","32,535","34,477",44,4.2,6.0,33
Clarendon,"33,477","34,665","38,001",36,3.5,9.6,7
Colleton,"35,446","37,026","40,336",27,4.5,8.9,11
Darlington,"37,281","39,085","41,928",21,4.8,7.3,22
Dillon,"28,730","30,468","33,030",46,6.0,8.4,15
Dorchester,"39,053","40,840","42,662",18,4.6,4.5,44
Edgefield,"35,665","37,506","41,178",25,5.2,9.8,6
Fairfield,"37,075","38,277","41,827",23,3.2,9.3,9
Florence,"41,586","43,759","46,749",11,5.2,6.8,25
Georgetown,"47,054","49,260","51,775",5,4.7,5.1,38
Greenville,"48,361","49,742","52,213",4,2.9,5.0,40
Greenwood,"36,498","38,031","40,786",26,4.2,7.2,23
Hampton,"32,353","33,833","39,185",28,4.6,15.8,2
Horry,"38,025","39,633","42,110",20,4.2,6.2,28
Jasper,"30,350","31,847","34,446",45,4.9,8.2,18
Kershaw,"41,317","43,196","45,782",13,4.5,6.0,32
Lancaster,"50,863","50,584","52,999",3,-0.5,4.8,42
Laurens,"34,948","35,796","38,108",34,2.4,6.5,27
Lee,"31,482","33,349","36,638",40,5.9,9.9,5
Lexington,"46,715","47,789","50,188",7,2.3,5.0,39
McCormick,"38,947","39,949","42,422",19,2.6,6.2,30
Marion,"31,711","33,465","36,606",41,5.5,9.4,8
Marlboro,"31,809","32,379","35,748",43,1.8,10.4,4
Newberry,"37,278","39,210","41,910",22,5.2,6.9,24
Oconee,"44,204","45,471","47,511",9,2.9,4.5,43
Orangeburg,"33,856","35,700","38,730",31,5.4,8.5,13
Pickens,"38,546","39,845","41,770",24,3.4,4.8,41
Richland,"45,001","46,806","49,678",8,4.0,6.1,31
Saluda,"34,123","35,242","37,637",37,3.3,6.8,26
Spartanburg,"42,669","44,151","46,543",12,3.5,5.4,35
Sumter,"38,697","39,812","43,003",17,2.9,8.0,19
Union,"32,501","34,618","37,515",39,6.5,8.4,17
Williamsburg,"32,238","34,626","38,528",33,7.4,11.3,3
York,"47,270","48,729","51,772",6,3.1,6.2,29
,,,,,,,
South Dakota,"52,346","54,725","59,281",--,4.5,8.3,--
Aurora,"38,650","40,817","50,586",45,5.6,23.9,17
Beadle,"48,196","49,575","54,493",39,2.9,9.9,45
Bennett,"34,870","35,761","41,856",58,2.6,17.0,29
Bon Homme,"38,666","40,508","43,555",56,4.8,7.5,48
Brookings,"45,723","46,641","49,278",50,2.0,5.7,54
Brown,"54,506","55,796","62,587",21,2.4,12.2,40
Brule,"46,740","45,527","54,352",40,-2.6,19.4,24
Buffalo,"22,516","20,290","26,748",65,-9.9,31.8,10
Butte,"38,305","39,261","41,250",59,2.5,5.1,56
Campbell,"51,225","46,477","71,645",6,-9.3,54.2,2
Charles Mix,"38,892","40,591","47,405",52,4.4,16.8,30
Clark,"46,343","45,543","70,492",8,-1.7,54.8,1
Clay,"39,107","41,042","43,533",57,4.9,6.1,53
Codington,"49,412","51,774","55,331",38,4.8,6.9,52
Corson,"26,401","26,983","31,442",61,2.2,16.5,32
Custer,"48,601","50,722","53,169",42,4.4,4.8,57
Davison,"51,328","53,116","55,832",35,3.5,5.1,55
Day,"47,677","46,160","64,064",20,-3.2,38.8,4
Deuel,"49,128","50,426","62,036",23,2.6,23.0,18
Dewey,"35,774","37,947","45,889",55,6.1,20.9,22
Douglas,"51,585","58,104","62,134",22,12.6,6.9,51
Edmunds,"55,787","53,872","67,747",12,-3.4,25.8,15
Fall River,"45,718","47,264","51,509",44,3.4,9.0,47
Faulk,"52,102","54,756","67,007",13,5.1,22.4,20
Grant,"54,518","54,847","65,019",17,0.6,18.5,27
Gregory,"43,087","44,000","50,244",47,2.1,14.2,38
Haakon,"55,317","49,797","66,588",14,-10.0,33.7,8
Hamlin,"43,833","43,006","51,773",43,-1.9,20.4,23
Hand,"56,496","54,692","69,452",10,-3.2,27.0,14
Hanson,"61,066","64,561","72,728",5,5.7,12.7,39
Harding,"45,002","49,543","50,355",46,10.1,1.6,65
Hughes,"51,546","54,779","55,872",34,6.3,2.0,64
Hutchinson,"50,158","55,464","59,341",29,10.6,7.0,50
Hyde,"48,354","47,737","64,756",19,-1.3,35.7,6
Jackson,"27,166","26,065","30,705",62,-4.1,17.8,28
Jerauld,"40,563","38,762","49,991",48,-4.4,29.0,13
Jones,"51,104","56,772","59,264",30,11.1,4.4,60
Kingsbury,"54,927","57,411","70,268",9,4.5,22.4,19
Lake,"48,748","51,379","57,367",31,5.4,11.7,42
Lawrence,"51,448","54,028","55,779",36,5.0,3.2,62
Lincoln,"69,095","72,019","74,493",4,4.2,3.4,61
Lyman,"40,793","40,660","46,934",53,-0.3,15.4,35
McCook,"48,670","54,193","60,576",27,11.3,11.8,41
McPherson,"43,890","42,136","60,086",28,-4.0,42.6,3
Marshall,"46,592","48,363","65,540",16,3.8,35.5,7
Meade,"43,728","44,980","49,875",49,2.9,10.9,44
Mellette,"30,341","28,996","33,840",60,-4.4,16.7,31
Miner,"46,460","49,665","65,604",15,6.9,32.1,9
Minnehaha,"58,244","62,084","64,846",18,6.6,4.4,59
Moody,"50,141","50,945","60,754",26,1.6,19.3,25
Oglala Lakota,"25,301","25,631","29,721",63,1.3,16.0,33
Pennington,"51,870","53,913","56,496",33,3.9,4.8,58
Perkins,"39,720","39,976","48,591",51,0.6,21.6,21
Potter,"67,134","76,433","87,915",3,13.9,15.0,36
Roberts,"37,798","37,023","46,059",54,-2.1,24.4,16
Sanborn,"46,747","51,917","61,709",24,11.1,18.9,26
Spink,"55,043","54,447","71,321",7,-1.1,31.0,11
Stanley,"57,943","60,316","60,870",25,4.1,0.9,66
Sully,"73,202","77,485","100,301",2,5.9,29.4,12
Todd,"24,957","25,643","28,440",64,2.7,10.9,43
Tripp,"49,622","49,545","56,765",32,-0.2,14.6,37
Turner,"51,734","63,313","69,250",11,22.4,9.4,46
Union,"115,194","119,482","123,000",1,3.7,2.9,63
Walworth,"46,274","46,799","54,033",41,1.1,15.5,34
Yankton,"49,826","51,910","55,638",37,4.2,7.2,49
Ziebach,"19,606","19,084","26,103",66,-2.7,36.8,5
,,,,,,,
Tennessee,"47,203","49,009","51,046",--,3.8,4.2,--
Anderson,"41,893","43,407","46,225",16,3.6,6.5,37
Bedford,"37,672","39,615","41,795",43,5.2,5.5,58
Benton,"33,306","34,016","36,438",73,2.1,7.1,17
Bledsoe,"25,985","27,368","29,572",94,5.3,8.1,10
Blount,"44,203","45,831","48,601",10,3.7,6.0,48
Bradley,"39,210","40,232","42,546",35,2.6,5.8,55
Campbell,"33,392","34,786","37,229",68,4.2,7.0,19
Cannon,"35,134","37,077","39,178",55,5.5,5.7,56
Carroll,"35,270","37,737","38,461",57,7.0,1.9,92
Carter,"33,568","34,405","36,431",74,2.5,5.9,51
Cheatham,"44,359","46,759","48,180",11,5.4,3.0,89
Chester,"33,333","34,545","38,107",60,3.6,10.3,3
Claiborne,"35,044","36,101","38,347",59,3.0,6.2,43
Clay,"31,187","31,783","34,456",86,1.9,8.4,8
Cocke,"32,009","33,399","36,279",77,4.3,8.6,6
Coffee,"38,653","40,850","42,990",32,5.7,5.2,67
Crockett,"37,655","41,632","42,410",39,10.6,1.9,93
Cumberland,"36,788","38,091","40,087",50,3.5,5.2,66
Davidson,"68,709","72,602","71,659",2,5.7,-1.3,95
Decatur,"41,223","42,266","44,401",25,2.5,5.1,71
DeKalb,"40,084","40,279","42,229",40,0.5,4.8,75
Dickson,"40,690","42,900","44,476",24,5.4,3.7,87
Dyer,"39,632","41,977","44,761",22,5.9,6.6,32
Fayette,"54,901","57,066","59,214",3,3.9,3.8,84
Fentress,"32,626","34,497","36,398",75,5.7,5.5,57
Franklin,"38,861","40,520","42,890",33,4.3,5.8,53
Gibson,"37,329","39,528","41,846",42,5.9,5.9,52
Giles,"37,826","38,704","41,074",46,2.3,6.1,46
Grainger,"33,784","34,803","37,480",66,3.0,7.7,14
Greene,"36,049","37,027","39,310",54,2.7,6.2,45
Grundy,"32,199","33,228","36,129",78,3.2,8.7,5
Hamblen,"36,902","38,247","40,627",48,3.6,6.2,42
Hamilton,"51,815","53,075","55,911",4,2.4,5.3,61
Hancock,"26,585","28,122","31,243",93,5.8,11.1,2
Hardeman,"28,861","30,752","33,036",90,6.6,7.4,15
Hardin,"39,115","40,449","43,171",30,3.4,6.7,30
Hawkins,"34,219","35,014","37,460",67,2.3,7.0,20
Haywood,"32,461","35,375","37,669",64,9.0,6.5,39
Henderson,"35,513","37,241","39,940",52,4.9,7.2,16
Henry,"40,499","42,222","44,075",29,4.3,4.4,81
Hickman,"32,957","34,738","36,316",76,5.4,4.5,78
Houston,"31,883","33,950","36,777",71,6.5,8.3,9
Humphreys,"37,768","39,622","41,569",44,4.9,4.9,72
Jackson,"30,794","32,114","34,645",85,4.3,7.9,12
Jefferson,"36,866","37,933","40,493",49,2.9,6.7,29
Johnson,"31,966","33,474","35,745",80,4.7,6.8,28
Knox,"50,433","52,422","54,642",5,3.9,4.2,82
Lake,"20,965","24,660","25,921",95,17.6,5.1,68
Lauderdale,"29,597","32,428","35,267",84,9.6,8.8,4
Lawrence,"34,072","35,698","37,918",61,4.8,6.2,44
Lewis,"34,352","36,353","38,830",56,5.8,6.8,25
Lincoln,"39,908","42,372","45,271",20,6.2,6.8,23
Loudon,"49,063","51,615","53,519",8,5.2,3.7,86
McMinn,"36,153","37,429","39,986",51,3.5,6.8,24
McNairy,"32,423","33,512","35,687",81,3.4,6.5,38
Macon,"32,693","33,428","35,472",82,2.2,6.1,47
Madison,"42,109","43,702","46,574",15,3.8,6.6,34
Marion,"38,905","39,769","42,471",36,2.2,6.8,27
Marshall,"37,841","39,833","42,427",38,5.3,6.5,36
Maury,"42,735","44,739","47,100",13,4.7,5.3,63
Meigs,"33,424","34,845","37,539",65,4.3,7.7,13
Monroe,"34,086","35,367","37,822",63,3.8,6.9,22
Montgomery,"42,296","43,499","45,871",17,2.8,5.5,60
Moore,"39,943","42,431","44,085",28,6.2,3.9,83
Morgan,"29,771","31,405","33,373",89,5.5,6.3,41
Obion,"40,075","42,277","45,152",21,5.5,6.8,26
Overton,"34,194","34,877","37,105",70,2.0,6.4,40
Perry,"34,223","35,430","37,130",69,3.5,4.8,76
Pickett,"39,291","39,620","40,804",47,0.8,3.0,90
Polk,"33,383","34,807","36,639",72,4.3,5.3,64
Putnam,"39,472","40,731","42,722",34,3.2,4.9,73
Rhea,"34,323","35,370","38,408",58,3.1,8.6,7
Roane,"40,960","42,389","44,706",23,3.5,5.5,59
Robertson,"42,230","44,732","46,746",14,5.9,4.5,79
Rutherford,"41,782","43,095","45,374",19,3.1,5.3,62
Scott,"30,328","30,963","33,425",88,2.1,8.0,11
Sequatchie,"37,958","39,241","42,009",41,3.4,7.1,18
Sevier,"40,421","42,321","44,209",26,4.7,4.5,80
Shelby,"49,022","50,468","53,855",6,2.9,6.7,31
Smith,"38,691","40,995","42,452",37,6.0,3.6,88
Stewart,"40,457","41,972","44,108",27,3.7,5.1,69
Sullivan,"42,652","43,657","45,789",18,2.4,4.9,74
Sumner,"49,180","50,947","52,403",9,3.6,2.9,91
Tipton,"39,082","40,778","43,147",31,4.3,5.8,54
Trousdale,"30,371","31,367","32,960",91,3.3,5.1,70
Unicoi,"35,914","37,152","39,357",53,3.4,5.9,50
Union,"32,354","33,203","35,370",83,2.6,6.5,35
Van Buren,"30,522","32,380","34,084",87,6.1,5.3,65
Warren,"34,230","35,394","37,857",62,3.4,7.0,21
Washington,"43,345","45,216","47,940",12,4.3,6.0,49
Wayne,"27,894","29,251","32,631",92,4.9,11.6,1
Weakley,"36,067","38,611","41,159",45,7.1,6.6,33
White,"32,655","34,442","36,062",79,5.5,4.7,77
Williamson,"94,251","95,520","94,748",1,1.3,-0.8,94
Wilson,"50,027","51,689","53,628",7,3.3,3.8,85
,,,,,,,
Texas,"51,813","53,266","55,129",--,2.8,3.5,--
Anderson,"34,537","36,332","38,807",225,5.2,6.8,74
Andrews,"51,303","52,626","50,248",83,2.6,-4.5,243
Angelina,"39,191","40,074","42,536",190,2.3,6.1,87
Aransas,"51,761","53,776","54,374",59,3.9,1.1,211
Archer,"49,747","52,661","55,290",55,5.9,5.0,121
Armstrong,"52,242","54,733","60,233",35,4.8,10.0,26
Atascosa,"38,275","39,511","41,599",196,3.2,5.3,115
Austin,"50,078","54,075","55,686",52,8.0,3.0,183
Bailey,"42,425","44,519","49,737",90,4.9,11.7,16
Bandera,"45,407","47,434","48,461",104,4.5,2.2,201
Bastrop,"37,728","39,953","42,177",193,5.9,5.6,105
Baylor,"44,551","47,327","53,984",62,6.2,14.1,8
Bee,"29,029","30,533","31,834",249,5.2,4.3,140
Bell,"43,153","44,088","46,594",129,2.2,5.7,103
Bexar,"47,148","46,569","48,569",103,-1.2,4.3,139
Blanco,"54,671","56,996","58,805",41,4.3,3.2,174
Borden,"70,068","72,732","66,783",17,3.8,-8.2,249
Bosque,"41,643","42,939","45,635",148,3.1,6.3,85
Bowie,"40,037","41,325","44,151",169,3.2,6.8,73
Brazoria,"47,606","50,207","51,812",77,5.5,3.2,173
Brazos,"40,673","41,414","43,430",176,1.8,4.9,123
Brewster,"47,655","49,708","52,483",73,4.3,5.6,104
Briscoe,"42,860","45,326","45,758",146,5.8,1.0,215
Brooks,"34,943","36,599","41,529",197,4.7,13.5,10
Brown,"39,471","40,449","42,771",185,2.5,5.7,100
Burleson,"46,046","47,155","49,975",86,2.4,6.0,92
Burnet,"49,472","51,949","53,751",65,5.0,3.5,165
Caldwell,"33,879","36,243","38,734",226,7.0,6.9,71
Calhoun,"44,695","53,562","52,180",76,19.8,-2.6,235
Callahan,"40,619","43,250","45,798",143,6.5,5.9,94
Cameron,"28,978","30,187","33,690",244,4.2,11.6,17
Camp,"37,959","37,569","40,272",217,-1.0,7.2,61
Carson,"43,792","49,781","48,021",114,13.7,-3.5,237
Cass,"36,686","38,115","41,275",199,3.9,8.3,41
Castro,"59,156","66,391","71,612",12,12.2,7.9,47
Chambers,"55,941","57,321","59,687",39,2.5,4.1,148
Cherokee,"34,955","35,533","38,190",232,1.7,7.5,56
Childress,"29,745","31,161","34,028",243,4.8,9.2,33
Clay,"43,189","45,128","48,038",113,4.5,6.4,80
Cochran,"37,200","39,837","44,903",156,7.1,12.7,13
Coke,"42,101","42,732","45,856",142,1.5,7.3,57
Coleman,"41,128","43,843","47,128",126,6.6,7.5,55
Collin,"67,589","69,451","71,246",13,2.8,2.6,192
Collingsworth,"37,712","42,198","44,903",156,11.9,6.4,81
Colorado,"46,250","48,393","51,732",78,4.6,6.9,69
Comal,"61,015","61,124","62,994",28,0.2,3.1,180
Comanche,"40,867","43,454","47,959",117,6.3,10.4,24
Concho,"34,054","36,149","41,219",201,6.2,14.0,9
Cooke,"52,068","52,968","54,759",58,1.7,3.4,168
Coryell,"35,033","35,551","38,222",230,1.5,7.5,53
Cottle,"64,041","60,462","68,268",16,-5.6,12.9,12
Crane,"49,725","53,114","49,749",88,6.8,-6.3,247
Crockett,"43,427","45,530","46,364",134,4.8,1.8,203
Crosby,"34,922","39,390","41,146",204,12.8,4.5,134
Culberson,"55,204","60,264","69,350",14,9.2,15.1,7
Dallam,"57,869","62,851","65,132",23,8.6,3.6,161
Dallas,"60,971","63,591","65,401",22,4.3,2.8,186
Dawson,"41,559","40,148","42,595",188,-3.4,6.1,89
Deaf Smith,"47,907","51,218","54,950",57,6.9,7.3,58
Delta,"38,536","40,320","43,628",173,4.6,8.2,43
Denton,"58,825","60,535","63,283",27,2.9,4.5,132
DeWitt,"63,031","63,242","60,890",34,0.3,-3.7,239
Dickens,"32,798","34,922","38,730",228,6.5,10.9,19
Dimmit,"38,089","41,979","44,874",158,10.2,6.9,70
Donley,"45,390","43,788","45,336",150,-3.5,3.5,164
Duval,"37,548","38,598","42,410",192,2.8,9.9,27
Eastland,"78,863","66,664","65,416",21,-15.5,-1.9,232
Ector,"49,458","52,079","49,887",87,5.3,-4.2,242
Edwards,"42,213","47,478","55,329",54,12.5,16.5,3
Ellis,"45,468","46,874","49,333",95,3.1,5.2,116
El Paso,"36,427","38,771","41,818",194,6.4,7.9,48
Erath,"39,653","41,866","43,900",171,5.6,4.9,124
Falls,"35,067","35,960","39,865",218,2.5,10.9,22
Fannin,"38,549","40,251","42,562",189,4.4,5.7,99
Fayette,"54,369","56,358","57,962",43,3.7,2.8,187
Fisher,"48,993","45,922","49,100",99,-6.3,6.9,68
Floyd,"38,779","43,301","42,627",187,11.7,-1.6,229
Foard,"46,718","45,431","52,630",71,-2.8,15.8,4
Fort Bend,"59,392","61,061","61,791",30,2.8,1.2,210
Franklin,"40,359","41,822","44,725",162,3.6,6.9,67
Freestone,"37,768","38,737","40,407",213,2.6,4.3,138
Frio,"29,861","31,185","33,407",245,4.4,7.1,62
Gaines,"41,360","45,941","47,826",118,11.1,4.1,149
Galveston,"53,461","56,611","57,941",44,5.9,2.3,199
Garza,"31,554","31,048","31,223",251,-1.6,0.6,219
Gillespie,"63,954","66,866","68,885",15,4.6,3.0,181
Glasscock,"96,395","94,077","87,334",3,-2.4,-7.2,248
Goliad,"45,387","47,874","49,513",92,5.5,3.4,166
Gonzales,"46,717","46,057","47,272",123,-1.4,2.6,189
Gray,"42,474","44,064","45,091",155,3.7,2.3,200
Grayson,"43,052","44,585","47,045",127,3.6,5.5,109
Gregg,"46,078","47,466","49,152",98,3.0,3.6,163
Grimes,"36,328","37,467","39,033",224,3.1,4.2,146
Guadalupe,"45,958","47,417","49,405",94,3.2,4.2,145
Hale,"33,409","36,389","38,674",229,8.9,6.3,84
Hall,"31,295","34,290","35,416",240,9.6,3.3,171
Hamilton,"60,461","63,867","65,685",19,5.6,2.8,185
Hansford,"58,469","66,689","66,588",18,14.1,-0.2,223
Hardeman,"42,562","42,503","45,863",141,-0.1,7.9,46
Hardin,"46,591","47,363","49,159",97,1.7,3.8,160
Harris,"58,685","59,207","60,183",36,0.9,1.6,205
Harrison,"41,973","44,022","45,396",149,4.9,3.1,175
Hartley,"64,298","73,797","76,005",8,14.8,3.0,182
Haskell,"37,965","44,998","46,070",137,18.5,2.4,197
Hays,"44,699","47,854","50,212",84,7.1,4.9,122
Hemphill,"58,277","61,126","61,340",32,4.9,0.4,220
Henderson,"39,243","41,161","43,356",177,4.9,5.3,112
Hidalgo,"27,007","28,091","31,153",252,4.0,10.9,20
Hill,"40,651","42,317","44,776",161,4.1,5.8,98
Hockley,"41,203","43,215","46,051",138,4.9,6.6,79
Hood,"51,040","52,977","55,132",56,3.8,4.1,150
Hopkins,"40,412","42,690","45,219",152,5.6,5.9,93
Houston,"39,000","41,048","44,693",163,5.3,8.9,36
Howard,"44,419","44,014","45,105",153,-0.9,2.5,193
Hudspeth,"22,353","23,296","26,835",254,4.2,15.2,5
Hunt,"38,729","40,177","42,819",184,3.7,6.6,77
Hutchinson,"42,101","44,195","46,860",128,5.0,6.0,91
Irion,"73,627","71,669","72,353",11,-2.7,1.0,214
Jack,"44,529","40,066","41,038",208,-10.0,2.4,196
Jackson,"42,617","48,020","47,642",121,12.7,-0.8,225
Jasper,"40,129","41,290","43,486",175,2.9,5.3,114
Jeff Davis,"43,170","43,850","48,623",102,1.6,10.9,21
Jefferson,"43,391","44,230","46,547",130,1.9,5.2,117
Jim Hogg,"32,130","33,639","36,847",234,4.7,9.5,29
Jim Wells,"40,445","42,450","46,483",133,5.0,9.5,31
Johnson,"43,299","44,836","47,654",120,3.5,6.3,83
Jones,"31,212","33,482","35,520",239,7.3,6.1,90
Karnes,"60,754","64,024","61,330",33,5.4,-4.2,241
Kaufman,"43,674","44,220","47,580",122,1.3,7.6,52
Kendall,"82,514","83,573","84,853",5,1.3,1.5,206
Kenedy,"37,210","42,966","46,296",136,15.5,7.8,49
Kent,"57,203","48,894","51,139",80,-14.5,4.6,131
Kerr,"52,045","54,523","56,093",50,4.8,2.9,184
Kimble,"44,065","44,909","48,071",112,1.9,7.0,63
King,"86,436","82,307","81,541",7,-4.8,-0.9,226
Kinney,"31,385","32,336","35,119",242,3.0,8.6,37
Kleberg,"39,669","41,456","43,560",174,4.5,5.1,118
Knox,"39,491","39,629","42,857",182,0.3,8.1,44
Lamar,"41,325","43,579","46,538",131,5.5,6.8,75
Lamb,"41,120","46,446","50,667",81,13.0,9.1,35
Lampasas,"50,864","51,862","54,153",60,2.0,4.4,136
La Salle,"40,823","40,404","41,114",205,-1.0,1.8,204
Lavaca,"53,815","56,589","57,399",45,5.2,1.4,207
Lee,"48,145","54,966","53,791",64,14.2,-2.1,233
Leon,"40,510","41,033","42,878",180,1.3,4.5,133
Liberty,"37,886","38,540","40,904",209,1.7,6.1,88
Limestone,"37,180","38,406","41,072",207,3.3,6.9,66
Lipscomb,"72,573","87,161","83,655",6,20.1,-4.0,240
Live Oak,"37,159","37,285","38,734",226,0.3,3.9,156
Llano,"49,385","50,966","52,538",72,3.2,3.1,179
Loving,"56,631","55,200","49,072",100,-2.5,-11.1,253
Lubbock,"43,393","44,802","46,502",132,3.2,3.8,159
Lynn,"40,544","44,792","40,351",215,10.5,-9.9,251
McCulloch,"39,967","39,008","41,306",198,-2.4,5.9,95
McLennan,"41,743","42,699","45,772",144,2.3,7.2,59
McMullen,"74,644","74,583","73,356",10,-0.1,-1.6,231
Madison,"31,627","32,099","35,865",237,1.5,11.7,15
Marion,"39,088","41,209","42,536",190,5.4,3.2,172
Martin,"68,227","67,054","64,602",25,-1.7,-3.7,238
Mason,"47,455","48,083","49,261",96,1.3,2.4,195
Matagorda,"43,116","46,469","48,150",110,7.8,3.6,162
Maverick,"30,707","32,061","35,133",241,4.4,9.6,28
Medina,"40,848","42,578","44,456",165,4.2,4.4,137
Menard,"37,780","38,678","41,220",200,2.4,6.6,78
