"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Mineral,"66,286","72,101","73,101",9,8.8,1.4,63
Moffat,"42,131","42,802","47,467",41,1.6,10.9,21
Montezuma,"41,684","42,988","46,919",44,3.1,9.1,26
Montrose,"40,933","41,922","45,262",49,2.4,8.0,31
Morgan,"44,559","44,991","48,701",37,1.0,8.2,29
Otero,"35,777","37,231","41,333",56,4.1,11.0,19
Ouray,"62,568","63,263","67,263",12,1.1,6.3,45
Park,"43,157","45,623","48,514",38,5.7,6.3,43
Phillips,"41,503","43,788","49,877",34,5.5,13.9,12
Pitkin,"150,112","156,830","155,067",1,4.5,-1.1,64
Prowers,"39,659","39,120","41,990",55,-1.4,7.3,35
Pueblo,"37,969","39,533","43,196",50,4.1,9.3,25
Rio Blanco,"46,929","48,829","52,422",28,4.0,7.4,34
Rio Grande,"45,214","48,202","53,641",26,6.6,11.3,18
Routt,"78,807","82,153","85,836",4,4.2,4.5,54
Saguache,"31,895","34,439","40,032",58,8.0,16.2,7
San Juan,"41,734","45,631","50,039",33,9.3,9.7,23
San Miguel,"85,260","89,728","93,954",2,5.2,4.7,52
Sedgwick,"39,979","44,765","50,896",32,12.0,13.7,13
Summit,"69,416","73,435","77,754",8,5.8,5.9,47
Teller,"49,047","51,337","54,587",24,4.7,6.3,44
Washington,"38,049","41,706","49,287",36,9.6,18.2,5
Weld,"47,884","48,923","52,054",29,2.2,6.4,42
Yuma,"41,981","44,056","47,285",42,4.9,7.3,36
,,,,,,,
Connecticut,"73,929","75,794","78,609",--,2.5,3.7,--
Fairfield,"116,757","118,515","120,244",1,1.5,1.5,8
Hartford,"63,014","64,545","67,938",3,2.4,5.3,4
Litchfield,"61,979","65,086","67,118",4,5.0,3.1,7
Middlesex,"66,258","68,361","71,291",2,3.2,4.3,6
New Haven,"54,773","56,710","60,092",6,3.5,6.0,2
New London,"56,567","58,122","61,191",5,2.7,5.3,3
Tolland,"54,956","56,891","59,590",7,3.5,4.7,5
Windham,"44,751","47,261","50,747",8,5.6,7.4,1
,,,,,,,
Delaware,"53,062","53,793","56,097",--,1.4,4.3,--
Kent,"42,155","43,761","46,600",3,3.8,6.5,1
New Castle,"57,085","57,404","59,955",1,0.6,4.4,2
Sussex,"51,790","52,935","54,352",2,2.2,2.7,3
,,,,,,,
District of Columbia,"80,342","80,819","86,567",--,0.6,7.1,--
,,,,,,,
Florida,"51,150","53,034","55,675",--,3.7,5.0,--
Alachua,"44,705","46,636","49,556",24,4.3,6.3,38
Baker,"33,285","33,913","36,552",49,1.9,7.8,22
Bay,"43,020","46,818","50,696",21,8.8,8.3,17
Bradford,"33,688","33,971","36,301",51,0.8,6.9,32
Brevard,"46,145","48,539","51,507",19,5.2,6.1,40
Broward,"50,458","52,864","55,908",12,4.8,5.8,46
Calhoun,"27,374","29,081","32,264",59,6.2,10.9,4
Charlotte,"42,292","43,549","45,606",32,3.0,4.7,53
Citrus,"38,263","39,701","41,933",36,3.8,5.6,49
Clay,"43,544","44,818","47,407",28,2.9,5.8,45
Collier,"99,997","103,205","103,865",2,3.2,0.6,67
Columbia,"34,842","35,600","38,243",46,2.2,7.4,27
DeSoto,"24,369","25,717","27,863",66,5.5,8.3,16
Dixie,"28,455","28,519","30,651",61,0.2,7.5,26
Duval,"46,061","48,096","51,131",20,4.4,6.3,37
Escambia,"42,744","44,377","47,381",29,3.8,6.8,33
Flagler,"47,099","48,754","50,599",22,3.5,3.8,56
Franklin,"36,912","37,169","39,452",42,0.7,6.1,39
Gadsden,"34,179","35,696","38,507",45,4.4,7.9,20
Gilchrist,"33,608","34,069","37,425",47,1.4,9.9,7
Glades,"24,336","25,566","28,116",65,5.1,10.0,6
Gulf,"37,117","45,559","49,666",23,22.7,9.0,13
Hamilton,"26,880","26,884","29,383",63,0.0,9.3,10
Hardee,"27,010","28,389","31,775",60,5.1,11.9,1
Hendry,"30,939","31,921","35,546",54,3.2,11.4,2
Hernando,"37,274","38,612","41,385",38,3.6,7.2,29
Highlands,"33,047","34,433","37,158",48,4.2,7.9,19
Hillsborough,"46,775","48,586","51,848",18,3.9,6.7,34
Holmes,"30,944","32,195","34,661",56,4.0,7.7,24
Indian River,"79,972","83,241","84,607",5,4.1,1.6,66
Jackson,"32,925","35,371","38,710",44,7.4,9.4,8
Jefferson,"39,930","42,058","44,065",34,5.3,4.8,52
Lafayette,"24,610","27,008","30,032",62,9.7,11.2,3
Lake,"43,160","44,253","46,563",30,2.5,5.2,51
